Key	English	Japanese	French	Spanish	German	Italian	Korean	ChineseSimplified	ChineseTraditional	BrazilianPortuguese
news_header_may_2020_giratina	Try out a new Remote Raid Pass during Altered Forme Giratina Raid Hour!									
news_subheader_may_2020_giratina	Try out a new Remote Raid Pass during Altered Forme Giratina Raid Hour!									
news_main_text_may_2020_giratina	With a Remote Raid Pass, you can join a Raid Battle that you can see on the Nearby screen or tap on the map. If you’d like to give raiding remotely a try during Raid Hour, you can pick up a Remote Raid Pass in the shop.  \n \nWednesday, May 6, 2020, from 6:00 p.m. to 7:00 p.m. in your local time zone \n \nRaid Battles featuring Altered Forme Giratina will be happening more frequently. \n \nHere’s how to get a Remote Raid Pass. \n1. Tap the Poké Ball icon, and then tap <b>Shop</b>. \n2. Scroll down to the Items section. \n3. Find the Remote Raid Pass, which you can get for 100 PokéCoins.  \n \nPlease note that if you have three or more Remote Raid Passes in your Item Bag, you won’t be able to acquire more.  \n \nTo learn more about how to join nearby raids remotely, check out this article: <a href=”https://niantic.helpshift.com/a/pokemon-go/?p=web&s=top-articles&f=joining-raids-remotely”>Joining Raids Remotely</a>.									
news_header_may_2020_bundlesales_wk8	Rotating 1 PokéCoin bundles in the shop!									
news_subheader_may_2020_bundlesales_wk8	Rotating 1 PokéCoin bundles in the shop!									
news_main_text_may_2020_bundlesales_wk8	\n- Rotating 1 PokéCoin bundles in the shop! New 1 PokéCoin bundles will be available in the shop each week as one-time purchases. The contents of these bundles change weekly, so be sure to get what is available each week. Right now, a new 1 PokéCoin bundle is available for you that contains the following. \n \n- Poké Balls × 20, Incense × 3, Razz Berries × 15, and Pinap Berries × 10. Until May 11 at 1:00 p.m. PDT (GMT –7) \n \nBe sure to follow us on social media, opt in to receive push notifications, and subscribe to our emails to stay updated. For the latest in in-game event and feature updates, be sure to check <a href="https://niantic.helpshift.com/a/pokemon-go/?p=web&s=top-articles&f=in-game-event-feature-updates">this help center article</a>.									
news_header_apr_2020_maycontentupdate	Upcoming Pokémon Spotlight Hours	今後の「スポットライトアワー」	Prochaines Heures du Pokémon vedette	Programa de la hora del Pokémon destacado	Bevorstehende Pokémon-Rampenlicht-Stunden	Ore del Pokémon in primo piano in programma	다음 스포트라이트 아워에 대해		接下來的寶可夢聚焦時刻	Programação da hora do Pokémon em destaque.
news_subheader_apr_2020_maycontentupdate	Upcoming Pokémon Spotlight Hours	今後の「スポットライトアワー」	Prochaines Heures du Pokémon vedette	Programa de la hora del Pokémon destacado	Bevorstehende Pokémon-Rampenlicht-Stunden	Ore del Pokémon in primo piano in programma	다음 스포트라이트 아워에 대해		接下來的寶可夢聚焦時刻	Programação da hora do Pokémon em destaque.
news_main_text_apr_2020_maycontentupdate	In the next few weeks, Pokémon Spotlight Hour will take place every Tuesday at 6:00 p.m. local time and will continue to spotlight both a Pokémon and a special bonus! For each Pokémon Spotlight Hour, you can expect a different Pokémon and bonus. \n \nTuesday, May 5, 2020: Shellder will be in the spotlight, and you’ll earn twice the Stardust for catching Pokémon. \nTuesday, May 12, 2020: Sunkern will be in the spotlight, and you’ll earn twice the XP for catching Pokémon. \nTuesday, May 19, 2020: Poochyena will be in the spotlight, and you’ll earn twice the Candy for catching Pokémon. \nTuesday, May 26, 2020: Bronzor will be in the spotlight, and you’ll earn twice the Candy for transferring Pokémon.	これから数週間、「スポットライトアワー」が日本時間で毎週火曜日の18時から1時間開催され、ポケモンがたくさん出現したり、ボーナスが発生します。この「スポットライトアワー」は、開催日ごとにポケモンやボーナスが異なります。 \n \n日本時間2020年5月5日（火）:「シェルダー」が多く出現し、ポケモンをつかまえたときに獲得できるほしのすなの量が2倍になります。 \n日本時間2020年5月12日（火）:「ヒマナッツ」が多く出現し、ポケモンをつかまえたときに獲得できるXPが2倍になります。 \n日本時間2020年5月19日（火）:「ポチエナ」が多く出現し、ポケモンをつかまえたときに獲得できる「ポケモンのアメ」の数が2倍になります。 \n日本時間2020年5月26日（火）:「ドーミラー」が多く出現し、ポケモンを博士に送ったときに獲得できる「ポケモンのアメ」の数が2倍になります。	Dans les prochaines semaines, l’Heure du Pokémon vedette aura lieu chaque mardi à 18h (heure locale), avec un Pokémon mis à l’honneur et un bonus spécial. Chaque Heure du Pokémon vedette proposera un Pokémon et un bonus différents. \n \nLe mardi 5 mai 2020, Kokiyas sera mis à l’honneur et vous obtiendrez le double de Poussières Étoiles pour chaque Pokémon attrapé. \nLe mardi 12 mai 2020, Tournegrin sera mis à l’honneur et vous obtiendrez le double de PX pour chaque Pokémon attrapé. \nLe mardi 19 mai 2020, Medhyèna sera mis à l’honneur et vous obtiendrez le double de Bonbons pour chaque Pokémon attrapé. \nLe mardi 26 mai 2020, Archéomire sera mis à l’honneur et vous obtiendrez le double de Bonbons pour chaque Pokémon que vous transférez.	En las próximas semanas, la hora del Pokémon destacado tendrá lugar cada martes a las 6:00 p. m. en tu hora local, ¡y seguirá contando tanto con un Pokémon como con un bonus especial! Cada hora del Pokémon destacado resaltará un Pokémon y un bonus diferentes. \n \nMartes 5 de mayo de 2020: Shellder será el Pokémon destacado y ganarás el doble de Polvos Estelares por capturar Pokémon. \nMartes 12 de mayo de 2020: Sunkern será el Pokémon destacado y ganarás el doble de PX por capturar Pokémon. \nMartes 19 de mayo de 2020: Poochyena será el Pokémon destacado y ganarás el doble de Caramelos por capturar Pokémon. \nMartes 26 de mayo de 2020: Bronzor será el Pokémon destacado y ganarás el doble de Caramelos por transferir Pokémon.	In den folgenden Wochen findet die Pokémon-Rampenlicht-Stunde jeden Dienstag um 18:00 Uhr Ortszeit mit einem Pokémon im Rampenlicht und einem besonderen Bonus statt! Bei jeder Pokémon-Rampenlicht-Stunde erwartet dich ein anderes Pokémon und ein neuer Bonus. \n \nDienstag, 5. Mai 2020: Muschas steht im Rampenlicht und du verdienst doppelt so viel Sternenstaub für das Fangen von Pokémon. \nDienstag, 12. Mai 2020: Sonnkern steht im Rampenlicht und du verdienst doppelte EP für das Fangen von Pokémon. \nDienstag, 19. Mai 2020: Fiffyen steht im Rampenlicht und du verdienst doppelt so viele Bonbons für das Fangen von Pokémon. \nDienstag, 26. Mai 2020: Bronzel steht im Rampenlicht und du verdienst doppelt so viele Bonbons für das Verschicken von Pokémon.	Nelle prossime settimane, l’ora del Pokémon in primo piano si terrà ogni martedì alle 18:00 ora locale e regalerà un Pokémon e un bonus speciale! Il Pokémon e il bonus saranno differenti per ognuna. \n \nMartedì 5 maggio 2020 il Pokémon protagonista sarà Shellder e potrai ottenere il doppio della polvere di stelle da cattura. \nMartedì 12 maggio 2020 il Pokémon protagonista sarà Sunkern e potrai ottenere il doppio dei PE da cattura. \nMartedì 19 maggio 2020 il Pokémon protagonista sarà Poochyena e potrai ottenere il doppio delle caramelle da cattura. \nMartedì 26 maggio 2020 il Pokémon protagonista sarà Bronzor e potrai ottenere il doppio delle caramelle da trasferimento.	앞으로 몇 주 동안, 한국시간 매주 화요일 18시부터 1시간 동안 스포트라이트 아워가 개최되어 포켓몬이 많이 출현하거나 보너스가 발생합니다. 이 스포트라이트 아워는 개최일에 따라 보너스가 달라집니다.  \n \n2020년 5월 5일 화요일: 셀러가 많이 출현하며, 포켓몬을 잡으면 "별의모래"를 2배 얻습니다. \n2020년 5월 12일 화요일: 해너츠가 많이 출현하며, 포켓몬을 잡으면 "XP"를 2배 얻습니다. \n2020년 5월 19일 화요일: 포챠나가 많이 출현하며, 포켓몬을 잡으면 "사탕"을 2배 얻습니다. \n2020년 5월 26일 화요일: 동미러가 많이 출현하며, 박사에게 포켓몬을 보내면 "사탕"을 2배 얻습니다.		接下來的這幾週，我們將於當地時間每週星期二18:00～19:00舉辦寶可夢聚焦時刻。除了特定寶可夢出現的機率會提高，各位訓練家還能獲得特別獎勵。每次的寶可夢聚焦時刻中出現的寶可夢與額外獎勵都不一樣喔。 \n \n2020年5月5日（星期二）：大舌貝出現的機率將會比平常高；捉到寶可夢時可獲得的星星沙子加倍。 \n2020年5月12日（星期二）：向日種子出現的機率將會比平常高；捉到寶可夢時可獲得的XP加倍。 \n2020年5月19日（星期二）：土狼犬出現的機率將會比平常高；捉到寶可夢時可獲得的糖果加倍。 \n2020年5月26日（星期二）：銅鏡怪出現的機率將會比平常高；將寶可夢傳送給博士時可獲得的糖果加倍。	Nas próximas semanas, a hora do Pokémon em destaque acontecerá toda terça, às 18h, horário local, e continuará a destacar um Pokémon e um bônus especial! Para cada hora do Pokémon em destaque, você pode esperar um Pokémon e bônus diferentes. \n \nTerça, 5 de maio de 2020: Shellder será o destaque, e você receberá o dobro de Poeira Estelar por capturar Pokémon. \nTerça, 12 de maio de 2020: Sunkern será o destaque, e você receberá o dobro de PE por capturar Pokémon. \nTerça, 19 de maio de 2020: Poochyena será o destaque, e você receberá o dobro de doces por capturar Pokémon. \nTerça, 26 de maio de 2020: Bronzor será o destaque, e você receberá o dobro de doces por transferir Pokémon.
news_header_apr_2020_gblseason2	GO Battle League Season 2 begins Friday, May 1, 2020, at 1:00 p.m. PDT	「GOバトルリーグ」シーズン2が日本時間2020年5月2日（土）早朝より開幕	La saison 2 de la Ligue Combat GO commence le vendredi 1er mai 2020 à 13h PDT (UTC -7)	La temporada 2 de la Liga Combates GO comienza el viernes 1 de mayo de 2020 a la 1:00 p. m. PDT	Saison 2 der GO-Kampfliga startet am Freitag, dem 1. Mai 2020 um 13:00 Uhr PDT.	La seconda stagione della Lega Lotte GO inizia venerdì 1° maggio 2020 alle 13:00 PDT	GO배틀리그 시즌2가 한국시간 2020년 5월 2일(토) 새벽부터 시작			A 2ª temporada da Liga de Batalha GO começa na sexta, 1º de maio de 2020, às 13h, horário do Pacífico.
